to mitigate;to make something less harmful, unpleasant, or bad
a scale;the relation between the real size of something and its size on a map, model, or diagram
to vie for;to compete with other people to achieve or get something
to forsake;to stop doing or having something
to knock stg off;to take a particular amount away from stg
utility;a service that is used by the public, such as an electricity or gas supply
dim;not likely to succeed
